Epic,기능명,기능설명,개발순서,비고,담당자,마감일,완료 여부
stack.yaml 구조 검증,템플릿 관리,검증된 stack.yaml 템플릿 제공. DB/캐시/웹서버 기본 템플릿,2순위,DB/캐시/웹서버 기본 템플릿,승균 박,2025년 10월 31일,
stack.yaml 구조 검증,Links 검증,links 연결 유효성 검증,3순위,,승균 박,2025년 10월 31일,
stack.yaml 구조 검증,포트 검증,포트 번호 형식 및 충돌 체크,2순위,,승균 박,2025년 10월 31일,
stack.yaml 구조 검증,경로 검증,로컬 파일 경로 존재 확인,2순위,,"승균 박, 김민준",2025년 10월 31일,
stack.yaml 구조 검증,타겟 검증,타겟 정보(host/sshKey 등) 유효성 체크. SSH 연결 테스트,2순위,,승균 박,2025년 10월 31일,
stack.yaml 구조 검증,의존성 검증,dependsOn 순환 참조 체크. 토폴로지 정렬,2순위,,승균 박,2025년 10월 31일,
stack.yaml 구조 검증,참조 검증,${ref:...} 참조 대상 존재 확인. 순환 참조 감지,2순위,순환 참조 감지,승균 박,2025년 10월 31일,
stack.yaml 구조 검증,스키마 검증,JSON Schema 기반 구조 검증,2순위,,승균 박,2025년 10월 31일,
stack.yaml 구조 검증,재시도,검증 실패후 수정시 자동 재검증. 파일 워처 활용,2순위,,승균 박,2025년 10월 31일,
stack.yaml 구조 검증,에러 가이드,검증 실패시 구체적 오류 위치와 이유 제공. 라인 번호 포함,2순위,라인 번호 포함,승균 박,2025년 10월 31일,
stack.yaml 구조 검증,구문 검증,YAML 문법 및 필수 필드 검증,2순위,,승균 박,2025년 10월 31일,
stack.yaml 구조 검증,스키마 정의,stack.yaml JSON Schema 작성. JSON Schema v7 사용,2순위,,승균 박,2025년 10월 31일,
빌드 실행,프로젝트 신규 생성,프로젝트를 신규 생성했을 때 default 파일들 생성,5순위,,"경호 조, 승균 박",2025년 11월 14일,
빌드 실행,stack.yaml 반영 빌드,Canvas → stack.yaml → 빌드 실행 전체 파이프라인 통합,2순위,,경호 조,2025년 10월 31일,
빌드 실행,버전 관리,stack.yaml 버전 관리,4순위,,경호 조,2025년 11월 07일,
빌드 실행,크로스 플랫폼 빌드,Linux/Windows/macOS 바이너리 생성. GOOS/GOARCH 활용,4순위,GOOS/GOARCH 활용,경호 조,2025년 11월 14일,
GUI 초기 환경설정,새 프로젝트 생성,새 프로젝트 생성 기능 ,1순위,,윤석찬,2025년 10월 27일,
GUI 초기 환경설정,프로젝트 저장/불러오기,기존 프로젝트 저장 및 불러오기 기능,3순위,,윤석찬,2025년 11월 07일,
GUI 초기 환경설정,사용자 튜토리얼 ,앱 시작시 사용자에게 튜토리얼 제공,5순위,,윤석찬,2025년 11월 14일,
GUI 초기 환경설정,최근 프로젝트 조회,최근 프로젝트 불러오기 기능,3순위,,윤석찬,2025년 11월 07일,
GUI 초기 환경설정,프로젝트 생성 환경 설정,작업 디렉토리/CLI 경로 설정. JSON 저장,2순위,,윤석찬,2025년 10월 28일,
GUI 초기 환경설정,애플리케이션 초기화,Tauri 앱 시작시 설정 로드,3순위,,윤석찬,2025년 10월 30일,
GUI 캔버스,시작시 설명 제공,초보자를 위해 첫 빈 캔버스 열릴때 하이라이트로 설명,3순위,생략 버튼도 있음,오승연,2025년 11월 07일,
GUI 캔버스,설정 UI,사용자 캔버스 설정창 (저장 경로 변경 등),3순위,,오승연,2025년 11월 07일,
GUI 캔버스,시크릿 관리 UI,시크릿 키 추가/삭제 UI,1순위,,오승연,2025년 10월 31일,
GUI 캔버스,YAML 동기화,캔버스 변경시 stack.yaml 실시간 업데이트. 양방향 동기화,1순위,양방향 동기화,오승연,2025년 10월 31일,
GUI 캔버스,속성 패널,노드 클릭시 속성 편집 폼. 포트/환경변수/볼륨 설정,1순위,포트/환경변수/볼륨 설정,오승연,2025년 10월 31일,
GUI 캔버스,서비스 카탈로그,기술 스택 블록 선택 UI. DB/캐시/웹/API 블록 제공,1순위,DB/캐시/웹/API 블록,오승연,2025년 10월 31일,
GUI 캔버스,캔버스 조작,노드 추가/삭제/이동. 엣지 연결. React Flow 활용,1순위,,"박경찬, 오승연",2025년 10월 31일,
GUI 모니터링,"EC2 원격 서버에 그라파나, 프로메테우스 설치","기존에 로컬에서 설치된 그라파나, 프로메테우스를 EC2환경에 설치하여 원격에서 접근 가능하도록 허용",4순위,,경호 조,2025년 11월 14일,
GUI 모니터링,LLM 조언창 UI,어떻게 인프라가 구축되었는지 초보들을 위해 설명,3순위,,윤석찬,2025년 11월 07일,
GUI 모니터링,모니터링 연결,서버 상황 모니터링을 위해 grafana 및 prometeus default 설정 추가,2순위,"grafana초기 접근 시 로그인 하지 않도록 설정, dashboard default 설정 추가해야 함",경호 조,2025년 10월 27일,
GUI 모니터링,모니터링 테스트,"모니터링 기능 구현을 위한 ec2환경에서 node exporter 및 로컬 prometeus, grafana 테스트",1순위,EC2에서 nodeexporter배포 확인이 필요함,경호 조,2025년 10월 23일,완료
GUI 모니터링,로그 모니터링,실시간 로그 스트림 표시. 자동 스크롤 및 로그 레벨 필터,1순위,자동 스크롤 및 로그 레벨 필터,윤석찬,2025년 10월 29일,
모바일 버전,모바일 버전 제작,시연용으로 웹버전을 모바일버전으로 다시 제작,5순위,,박경찬,2025년 11월 14일,
로그인,로그인,로그인 기능 구현,4순위,,박경찬,2025년 11월 14일,
로그인,회원가입,회원가입 기능 구현,4순위,,박경찬,2025년 11월 14일,
